case_id,seizure_date,year,month,origin_region,origin_country,destination_country,species,species_category,product_type,iucn_status,quantity,unit,estimated_value_usd,transport_method,seizure_location_type,enforcement_agency,arrests_made,case_status,origin_lat,origin_lon,destination_lat,destination_lon
WLC-0302,03-02-2015,2015,2,Africa,Tanzania,Hong Kong SAR,Seahorse,Marine,Traditional Medicine,Vulnerable,10.98,kg,9728.49,Air,Postal/Courier Facility,Coast Guard Interdiction Unit,0,Released - Insufficient Evidence,-6.369,34.8888,22.3193,114.1694
WLC-0890,10-02-2015,2015,2,Africa,Mozambique,United States,African Elephant,Mammal,Ivory,Endangered,0.94,kg,1075.78,Sea,Urban Wildlife Market,National Wildlife Crime Unit,1,Released - Insufficient Evidence,-18.6657,35.5296,37.0902,-95.7129
WLC-0170,17-02-2015,2015,2,Asia,Indonesia,Vietnam,Orchid (Wild),Plant,Live Animal,Vulnerable,4,piece,239.66,Sea,Postal/Courier Facility,Environmental Crime Investigation Bureau,0,Released - Insufficient Evidence,-0.7893,113.9213,14.0583,108.2772
WLC-0694,27-02-2015,2015,2,Asia,Malaysia,Belgium,Seahorse,Marine,Traditional Medicine,Vulnerable,14.29,kg,10438.69,Sea,Land Border Crossing,Port Authority Task Force,3,Prosecuted - Pending Trial,4.2105,101.9758,50.5039,4.4699
WLC-0540,03-03-2015,2015,3,Africa,Mozambique,France,Giant Clam,Marine,Shell,Vulnerable,21,piece,1805.83,Sea,International Airport,National Wildlife Crime Unit,0,Closed - No Arrest,-18.6657,35.5296,46.2276,2.2137
WLC-0460,17-03-2015,2015,3,Asia,Thailand,Hong Kong SAR,Radiated Tortoise,Reptile,Live Animal,Critically Endangered,5,live individual,2035.45,Sea,Seaport / Container Terminal,National Parks & Wildlife Service,3,Under Investigation,15.87,100.9925,22.3193,114.1694
WLC-0852,20-03-2015,2015,3,Asia,Myanmar,South Korea,Totoaba,Marine,Swim Bladder,Critically Endangered,2.25,kg,54636.46,Sea,Seaport / Container Terminal,National Wildlife Crime Unit,0,Under Investigation,21.9162,95.956,35.9078,127.7669
WLC-0144,28-03-2015,2015,3,Africa,Uganda,South Korea,Queen Conch,Marine,Shell,Vulnerable,18,piece,570.07,Sea,Land Border Crossing,National Parks & Wildlife Service,0,Convicted,1.3733,32.2903,35.9078,127.7669
WLC-0600,01-04-2015,2015,4,Africa,Uganda,China,Hawksbill Turtle,Marine,Shell,Critically Endangered,0.5,kg,258.71,Air,Private Residence,National Wildlife Crime Unit,1,Convicted,1.3733,32.2903,35.8617,104.1954
WLC-0395,05-04-2015,2015,4,Asia,China,Vietnam,Orchid (Wild),Plant,Live Animal,Vulnerable,9,piece,726.77,Sea,Land Border Crossing,Port Authority Task Force,0,Prosecuted - Pending Trial,35.8617,104.1954,14.0583,108.2772
WLC-0394,07-04-2015,2015,4,Africa,Cameroon,United States,Radiated Tortoise,Reptile,Live Animal,Critically Endangered,14,live individual,4612.56,Sea,International Airport,Environmental Crime Investigation Bureau,0,Under Investigation,7.3697,12.3547,37.0902,-95.7129
WLC-0053,17-04-2015,2015,4,Asia,Thailand,United States,Giant Clam,Marine,Shell,Vulnerable,7,piece,1004.3,Sea,International Airport,National Wildlife Crime Unit,1,Prosecuted - Pending Trial,15.87,100.9925,37.0902,-95.7129
WLC-0442,18-04-2015,2015,4,Africa,Zimbabwe,United States,White Rhino,Mammal,Horn,Near Threatened,8.63,kg,458991.12,Air,Private Residence,Customs & Border Protection,0,Convicted,-19.0154,29.1549,37.0902,-95.7129
WLC-0719,25-04-2015,2015,4,Asia,Indonesia,South Korea,Jaguar,Mammal,Skin/Pelt,Near Threatened,4,piece,5440.95,Land,Land Border Crossing,Customs & Border Protection,1,Under Investigation,-0.7893,113.9213,35.9078,127.7669
WLC-0871,27-04-2015,2015,4,Africa,Mozambique,Germany,Grey Parrot,Bird,Live Animal,Endangered,36,live individual,18191.23,Air,Private Residence,Customs & Border Protection,0,Under Investigation,-18.6657,35.5296,51.1657,10.4515
WLC-0759,28-04-2015,2015,4,Latin America,Peru,China,Giant Clam,Marine,Shell,Vulnerable,18,piece,2617.25,Air,Seaport / Container Terminal,National Wildlife Crime Unit,0,Under Investigation,-9.19,-75.0152,35.8617,104.1954
WLC-0799,05-05-2015,2015,5,Africa,Cameroon,Qatar,Leopard,Mammal,Skin/Pelt,Vulnerable,14,piece,39801.99,Sea,Postal/Courier Facility,Coast Guard Interdiction Unit,2,Prosecuted - Pending Trial,7.3697,12.3547,25.3548,51.1839
WLC-0071,11-05-2015,2015,5,Asia,Malaysia,Thailand,Hawksbill Turtle,Marine,Shell,Critically Endangered,5.4,kg,1931.17,Land,International Airport,National Parks & Wildlife Service,1,Prosecuted - Pending Trial,4.2105,101.9758,15.87,100.9925
WLC-0936,12-05-2015,2015,5,Africa,Democratic Republic of Congo,Belgium,African Elephant,Mammal,Ivory,Endangered,1.74,kg,3098.69,Sea,Private Residence,National Wildlife Crime Unit,0,Convicted,-4.0383,21.7587,50.5039,4.4699
WLC-0774,18-05-2015,2015,5,Africa,South Africa,Japan,Black Rhino,Mammal,Horn,Critically Endangered,30.25,kg,2025508.44,Air,International Airport,Interpol-supported Joint Operation,1,Under Investigation,-30.5595,22.9375,36.2048,138.2529
WLC-0058,20-05-2015,2015,5,Asia,Thailand,China,Agarwood,Plant,Timber,Vulnerable,16.38,kg,3371.77,Air,Private Residence,Customs & Border Protection,0,Convicted,15.87,100.9925,35.8617,104.1954
WLC-0807,20-05-2015,2015,5,Africa,Cameroon,Hong Kong SAR,Helmeted Hornbill,Bird,Trophy,Critically Endangered,4,piece,30412.45,Air,Urban Wildlife Market,Environmental Crime Investigation Bureau,0,Released - Insufficient Evidence,7.3697,12.3547,22.3193,114.1694
WLC-0240,23-05-2015,2015,5,Africa,Democratic Republic of Congo,United States,Pangolin (Ground),Mammal,Scales,Endangered,3.34,kg,894.74,Sea,Highway Checkpoint,Coast Guard Interdiction Unit,4,Under Investigation,-4.0383,21.7587,37.0902,-95.7129
WLC-0673,27-05-2015,2015,5,Africa,Zimbabwe,France,African Elephant,Mammal,Ivory,Endangered,3.62,kg,7686.51,Air,International Airport,Coast Guard Interdiction Unit,5,Case Dismissed,-19.0154,29.1549,46.2276,2.2137
WLC-0463,03-06-2015,2015,6,Africa,Gabon,United States,Indian Star Tortoise,Reptile,Live Animal,Vulnerable,15,live individual,1389.93,Air,Seaport / Container Terminal,Customs & Border Protection,0,Closed - No Arrest,-0.8037,11.6094,37.0902,-95.7129
WLC-0872,10-06-2015,2015,6,Africa,Democratic Republic of Congo,China,African Elephant,Mammal,Ivory,Endangered,2.21,kg,4170.95,Sea,Private Residence,Interpol-supported Joint Operation,0,Closed - No Arrest,-4.0383,21.7587,35.8617,104.1954
WLC-0788,12-06-2015,2015,6,Latin America,Brazil,France,Tiger,Mammal,Bones,Endangered,0.85,kg,3368.25,Air,Private Residence,Port Authority Task Force,1,Closed - No Arrest,-14.235,-51.9253,46.2276,2.2137
WLC-0931,13-06-2015,2015,6,Africa,Democratic Republic of Congo,United Kingdom,Totoaba,Marine,Swim Bladder,Critically Endangered,0.83,kg,18524.53,Air,Land Border Crossing,Customs & Border Protection,3,Released - Insufficient Evidence,-4.0383,21.7587,55.3781,-3.436
WLC-0877,17-06-2015,2015,6,Asia,Indonesia,Hong Kong SAR,Indian Star Tortoise,Reptile,Live Animal,Vulnerable,24,live individual,2656.16,Sea,Postal/Courier Facility,Port Authority Task Force,1,Under Investigation,-0.7893,113.9213,22.3193,114.1694
WLC-0329,21-06-2015,2015,6,Africa,South Africa,Singapore,Hawksbill Turtle,Marine,Shell,Critically Endangered,7.89,kg,4533.12,Air,International Airport,Environmental Crime Investigation Bureau,1,Prosecuted - Pending Trial,-30.5595,22.9375,1.3521,103.8198
WLC-0201,28-06-2015,2015,6,Africa,Madagascar,South Korea,Green Sea Turtle,Marine,Shell,Endangered,6.46,kg,2848.05,Sea,Highway Checkpoint,Coast Guard Interdiction Unit,1,Closed - No Arrest,-18.7669,46.8691,35.9078,127.7669
WLC-0182,28-06-2015,2015,6,Africa,Madagascar,France,Ginseng (Wild),Plant,Traditional Medicine,Endangered,5.11,kg,6019.17,Sea,Postal/Courier Facility,Environmental Crime Investigation Bureau,2,Closed - No Arrest,-18.7669,46.8691,46.2276,2.2137
WLC-0357,08-07-2015,2015,7,Africa,Nigeria,China,Jaguar,Mammal,Skin/Pelt,Near Threatened,12,piece,24861.62,Air,Postal/Courier Facility,Customs & Border Protection,0,Under Investigation,9.082,8.6753,35.8617,104.1954
WLC-0461,13-07-2015,2015,7,Africa,Madagascar,Japan,African Elephant,Mammal,Ivory,Endangered,3.6,kg,3255.59,Sea,Postal/Courier Facility,National Wildlife Crime Unit,2,Under Investigation,-18.7669,46.8691,36.2048,138.2529
WLC-0534,18-07-2015,2015,7,Asia,China,Qatar,Hawksbill Turtle,Marine,Shell,Critically Endangered,12.5,kg,5680.85,Land,Seaport / Container Terminal,Interpol-supported Joint Operation,0,Convicted,35.8617,104.1954,25.3548,51.1839
WLC-0455,20-07-2015,2015,7,Africa,Zimbabwe,Singapore,Ginseng (Wild),Plant,Traditional Medicine,Endangered,1.79,kg,1135.81,Sea,Highway Checkpoint,National Parks & Wildlife Service,4,Convicted,-19.0154,29.1549,1.3521,103.8198
WLC-0169,02-08-2015,2015,8,Asia,Vietnam,France,African Elephant,Mammal,Ivory,Endangered,6.87,kg,7824.6,Air,Private Residence,Interpol-supported Joint Operation,2,Under Investigation,14.0583,108.2772,46.2276,2.2137
WLC-0926,03-09-2015,2015,9,Africa,Uganda,Japan,Helmeted Hornbill,Bird,Trophy,Critically Endangered,17,piece,89627.91,Air,Private Residence,Interpol-supported Joint Operation,5,Convicted,1.3733,32.2903,36.2048,138.2529
WLC-0813,19-09-2015,2015,9,Africa,Gabon,Qatar,Totoaba,Marine,Swim Bladder,Critically Endangered,2.4,kg,47610.53,Air,International Airport,Environmental Crime Investigation Bureau,4,Under Investigation,-0.8037,11.6094,25.3548,51.1839
WLC-0775,09-10-2015,2015,10,Africa,Mozambique,Qatar,Rosewood,Plant,Timber,Endangered,3.19,kg,5.97,Sea,Urban Wildlife Market,National Wildlife Crime Unit,0,Under Investigation,-18.6657,35.5296,25.3548,51.1839
WLC-0723,16-10-2015,2015,10,Asia,China,United Kingdom,Saker Falcon,Bird,Live Animal,Endangered,1,live individual,20127.5,Sea,Land Border Crossing,National Parks & Wildlife Service,0,Prosecuted - Pending Trial,35.8617,104.1954,55.3781,-3.436
WLC-0938,17-10-2015,2015,10,Asia,Vietnam,Singapore,African Lion,Mammal,Bones,Vulnerable,2.24,kg,2901.77,Sea,Postal/Courier Facility,Customs & Border Protection,4,Under Investigation,14.0583,108.2772,1.3521,103.8198
WLC-0557,24-10-2015,2015,10,Africa,Madagascar,United Kingdom,Helmeted Hornbill,Bird,Trophy,Critically Endangered,11,piece,42826.03,Air,Land Border Crossing,National Wildlife Crime Unit,2,Convicted,-18.7669,46.8691,55.3781,-3.436
WLC-0154,27-10-2015,2015,10,Asia,Thailand,Japan,Tiger,Mammal,Skin/Pelt,Endangered,11,piece,121315.94,Sea,Land Border Crossing,Port Authority Task Force,0,Prosecuted - Pending Trial,15.87,100.9925,36.2048,138.2529
WLC-0884,09-11-2015,2015,11,Africa,Kenya,Hong Kong SAR,Leopard,Mammal,Skin/Pelt,Vulnerable,15,piece,30240.2,Sea,Land Border Crossing,Coast Guard Interdiction Unit,3,Convicted,-0.0236,37.9062,22.3193,114.1694
WLC-0942,14-11-2015,2015,11,Africa,Nigeria,United States,Seahorse,Marine,Traditional Medicine,Vulnerable,3.89,kg,3085.58,Sea,Land Border Crossing,National Parks & Wildlife Service,1,Under Investigation,9.082,8.6753,37.0902,-95.7129
WLC-0671,16-11-2015,2015,11,Africa,South Africa,Germany,Seahorse,Marine,Traditional Medicine,Vulnerable,6.95,kg,3647.96,Postal/Courier,International Airport,Customs & Border Protection,1,Under Investigation,-30.5595,22.9375,51.1657,10.4515
WLC-0683,24-11-2015,2015,11,Africa,Democratic Republic of Congo,Hong Kong SAR,Saltwater Crocodile,Reptile,Skin/Pelt,Least Concern,13,piece,4865.99,Postal/Courier,Urban Wildlife Market,Coast Guard Interdiction Unit,2,Convicted,-4.0383,21.7587,22.3193,114.1694
WLC-0911,02-12-2015,2015,12,Africa,Mozambique,China,Totoaba,Marine,Swim Bladder,Critically Endangered,0.59,kg,10410.7,Air,Land Border Crossing,National Parks & Wildlife Service,3,Under Investigation,-18.6657,35.5296,35.8617,104.1954
WLC-0932,04-12-2015,2015,12,Africa,Namibia,Belgium,Queen Conch,Marine,Shell,Vulnerable,10,piece,472.46,Postal/Courier,International Airport,National Parks & Wildlife Service,0,Convicted,-22.9576,18.4904,50.5039,4.4699
WLC-0157,04-12-2015,2015,12,Africa,Democratic Republic of Congo,France,Timber Rattlesnake,Reptile,Live Animal,Least Concern,33,live individual,2978.8,Land,Seaport / Container Terminal,Port Authority Task Force,0,Under Investigation,-4.0383,21.7587,46.2276,2.2137
WLC-0879,05-12-2015,2015,12,Africa,Democratic Republic of Congo,Thailand,Pangolin (African),Mammal,Bushmeat,Endangered,7.48,kg,90.08,Air,Highway Checkpoint,Interpol-supported Joint Operation,3,Released - Insufficient Evidence,-4.0383,21.7587,15.87,100.9925
WLC-0246,09-12-2015,2015,12,Latin America,Ecuador,Japan,Totoaba,Marine,Swim Bladder,Critically Endangered,3.9,kg,92625.66,Sea,Private Residence,Environmental Crime Investigation Bureau,4,Under Investigation,-1.8312,-78.1834,36.2048,138.2529
WLC-0900,09-12-2015,2015,12,Africa,Nigeria,United Kingdom,Pangolin (Sunda),Mammal,Scales,Critically Endangered,1.05,kg,143.1,Air,Seaport / Container Terminal,Port Authority Task Force,0,Under Investigation,9.082,8.6753,55.3781,-3.436
WLC-0155,13-12-2015,2015,12,Latin America,Peru,Hong Kong SAR,Indian Star Tortoise,Reptile,Live Animal,Vulnerable,30,live individual,4851.74,Land,Seaport / Container Terminal,National Parks & Wildlife Service,3,Under Investigation,-9.19,-75.0152,22.3193,114.1694
WLC-0658,16-12-2015,2015,12,Latin America,Bolivia,United Kingdom,Bushmeat (mixed species),Mammal,Bushmeat,Vulnerable,6.79,kg,45.05,Air,Seaport / Container Terminal,Port Authority Task Force,1,Convicted,-16.2902,-63.5887,55.3781,-3.436
WLC-0298,01-01-2016,2016,1,Africa,Gabon,Japan,Pangolin (Ground),Mammal,Scales,Endangered,1.35,kg,274.75,Sea,International Airport,Coast Guard Interdiction Unit,3,Prosecuted - Pending Trial,-0.8037,11.6094,36.2048,138.2529
WLC-0068,09-01-2016,2016,1,Africa,Namibia,Germany,African Lion,Mammal,Bones,Vulnerable,4.53,kg,7813.41,Air,Private Residence,Coast Guard Interdiction Unit,0,Convicted,-22.9576,18.4904,51.1657,10.4515
WLC-0263,10-01-2016,2016,1,Latin America,Ecuador,Germany,Indian Star Tortoise,Reptile,Live Animal,Vulnerable,35,live individual,3849.05,Air,Land Border Crossing,Customs & Border Protection,4,Convicted,-1.8312,-78.1834,51.1657,10.4515
WLC-0127,11-01-2016,2016,1,Africa,Madagascar,Belgium,Indian Star Tortoise,Reptile,Live Animal,Vulnerable,30,live individual,4548.44,Postal/Courier,Seaport / Container Terminal,Interpol-supported Joint Operation,1,Prosecuted - Pending Trial,-18.7669,46.8691,50.5039,4.4699
WLC-0295,23-01-2016,2016,1,Africa,Cameroon,Vietnam,Reticulated Python,Reptile,Skin/Pelt,Least Concern,23,piece,2390.8,Land,Highway Checkpoint,Customs & Border Protection,0,Under Investigation,7.3697,12.3547,14.0583,108.2772
WLC-0416,23-01-2016,2016,1,Africa,Gabon,United States,Pangolin (African),Mammal,Bushmeat,Endangered,4.71,kg,60.27,Air,International Airport,National Wildlife Crime Unit,2,Under Investigation,-0.8037,11.6094,37.0902,-95.7129
WLC-0124,24-01-2016,2016,1,Latin America,Mexico,France,Indian Star Tortoise,Reptile,Live Animal,Vulnerable,22,live individual,4661.88,Air,Highway Checkpoint,Port Authority Task Force,0,Closed - No Arrest,23.6345,-102.5528,46.2276,2.2137
WLC-0177,28-01-2016,2016,1,Latin America,Colombia,United Arab Emirates,Tiger,Mammal,Skin/Pelt,Endangered,15,piece,172080.41,Land,Private Residence,Environmental Crime Investigation Bureau,0,Case Dismissed,4.5709,-74.2973,23.4241,53.8478
WLC-0736,05-02-2016,2016,2,Africa,Mozambique,Qatar,Helmeted Hornbill,Bird,Trophy,Critically Endangered,18,piece,110727.01,Land,Urban Wildlife Market,National Wildlife Crime Unit,2,Prosecuted - Pending Trial,-18.6657,35.5296,25.3548,51.1839
WLC-0257,06-02-2016,2016,2,Africa,Kenya,United States,Indian Star Tortoise,Reptile,Live Animal,Vulnerable,4,live individual,656.13,Sea,Postal/Courier Facility,Interpol-supported Joint Operation,0,Under Investigation,-0.0236,37.9062,37.0902,-95.7129
WLC-0546,06-02-2016,2016,2,Asia,Vietnam,Hong Kong SAR,Palm Cockatoo,Bird,Live Animal,Vulnerable,11,live individual,33944.58,Sea,Private Residence,Coast Guard Interdiction Unit,0,Convicted,14.0583,108.2772,22.3193,114.1694
WLC-0086,06-02-2016,2016,2,Latin America,Brazil,Belgium,Pangolin (Ground),Mammal,Scales,Endangered,2.77,kg,519.32,Land,Urban Wildlife Market,National Parks & Wildlife Service,1,Convicted,-14.235,-51.9253,50.5039,4.4699
WLC-0876,11-02-2016,2016,2,Africa,Nigeria,Japan,Palm Cockatoo,Bird,Live Animal,Vulnerable,16,live individual,40481.68,Land,Private Residence,Port Authority Task Force,0,Case Dismissed,9.082,8.6753,36.2048,138.2529
WLC-0048,12-02-2016,2016,2,Africa,Uganda,South Korea,Saltwater Crocodile,Reptile,Skin/Pelt,Least Concern,17,piece,5001.4,Sea,Urban Wildlife Market,National Parks & Wildlife Service,0,Under Investigation,1.3733,32.2903,35.9078,127.7669
WLC-0625,15-02-2016,2016,2,Africa,Democratic Republic of Congo,Singapore,Black Rhino,Mammal,Horn,Critically Endangered,0.8,kg,73305.62,Air,Seaport / Container Terminal,Customs & Border Protection,0,Under Investigation,-4.0383,21.7587,1.3521,103.8198
WLC-0441,21-02-2016,2016,2,Asia,Philippines,Hong Kong SAR,Tiger,Mammal,Skin/Pelt,Endangered,23,piece,252596.27,Postal/Courier,Private Residence,Customs & Border Protection,0,Prosecuted - Pending Trial,12.8797,121.774,22.3193,114.1694
WLC-0515,26-02-2016,2016,2,Africa,Tanzania,South Korea,Pangolin (African),Mammal,Bushmeat,Endangered,5.12,kg,102.19,Land,Private Residence,National Wildlife Crime Unit,1,Released - Insufficient Evidence,-6.369,34.8888,35.9078,127.7669
WLC-0751,27-02-2016,2016,2,Africa,Zimbabwe,United Arab Emirates,Jaguar,Mammal,Skin/Pelt,Near Threatened,4,piece,8726.71,Land,Postal/Courier Facility,Interpol-supported Joint Operation,0,Released - Insufficient Evidence,-19.0154,29.1549,23.4241,53.8478
WLC-0922,01-03-2016,2016,3,Africa,Gabon,South Korea,African Blackwood,Plant,Timber,Near Threatened,7.04,kg,36.9,Sea,Highway Checkpoint,Customs & Border Protection,5,Under Investigation,-0.8037,11.6094,35.9078,127.7669
WLC-0050,14-03-2016,2016,3,Africa,Democratic Republic of Congo,United States,Saltwater Crocodile,Reptile,Skin/Pelt,Least Concern,16,piece,3451.41,Land,Highway Checkpoint,Customs & Border Protection,1,Convicted,-4.0383,21.7587,37.0902,-95.7129
WLC-0272,15-03-2016,2016,3,Africa,Madagascar,United States,Saker Falcon,Bird,Live Animal,Endangered,35,live individual,684891.03,Air,Private Residence,Interpol-supported Joint Operation,2,Convicted,-18.7669,46.8691,37.0902,-95.7129
WLC-0292,24-03-2016,2016,3,Asia,Laos,United States,Timber Rattlesnake,Reptile,Live Animal,Least Concern,19,live individual,1583.99,Sea,Seaport / Container Terminal,National Wildlife Crime Unit,2,Under Investigation,19.8563,102.4955,37.0902,-95.7129
WLC-0887,03-04-2016,2016,4,Africa,Gabon,Belgium,Pangolin (African),Mammal,Bushmeat,Endangered,4.2,kg,44.08,Air,International Airport,Coast Guard Interdiction Unit,2,Released - Insufficient Evidence,-0.8037,11.6094,50.5039,4.4699
WLC-0082,07-04-2016,2016,4,Africa,Democratic Republic of Congo,South Korea,African Lion,Mammal,Bones,Vulnerable,4.26,kg,7597,Land,International Airport,Environmental Crime Investigation Bureau,5,Closed - No Arrest,-4.0383,21.7587,35.9078,127.7669
WLC-0136,07-04-2016,2016,4,Africa,South Africa,Thailand,Leopard,Mammal,Skin/Pelt,Vulnerable,13,piece,40213.61,Land,Urban Wildlife Market,National Parks & Wildlife Service,0,Prosecuted - Pending Trial,-30.5595,22.9375,15.87,100.9925
WLC-0094,08-04-2016,2016,4,Africa,Namibia,Thailand,Helmeted Hornbill,Bird,Trophy,Critically Endangered,23,piece,113437.7,Air,Postal/Courier Facility,Coast Guard Interdiction Unit,2,Under Investigation,-22.9576,18.4904,15.87,100.9925
WLC-0545,10-04-2016,2016,4,Africa,Tanzania,Germany,African Elephant,Mammal,Ivory,Endangered,1.45,kg,1927.17,Air,Urban Wildlife Market,Coast Guard Interdiction Unit,0,Under Investigation,-6.369,34.8888,51.1657,10.4515
WLC-0670,13-04-2016,2016,4,Africa,Uganda,Vietnam,Pangolin (Ground),Mammal,Scales,Endangered,5.96,kg,965.81,Sea,Highway Checkpoint,Port Authority Task Force,5,Convicted,1.3733,32.2903,14.0583,108.2772
WLC-0199,27-04-2016,2016,4,Africa,Kenya,Vietnam,Grey Parrot,Bird,Live Animal,Endangered,26,live individual,14240.08,Air,Postal/Courier Facility,Port Authority Task Force,4,Released - Insufficient Evidence,-0.0236,37.9062,14.0583,108.2772
WLC-0337,18-05-2016,2016,5,Latin America,Colombia,Vietnam,Agarwood,Plant,Timber,Vulnerable,1.39,kg,167.54,Land,Postal/Courier Facility,Customs & Border Protection,1,Closed - No Arrest,4.5709,-74.2973,14.0583,108.2772
WLC-0543,28-05-2016,2016,5,Asia,Thailand,Vietnam,Indian Star Tortoise,Reptile,Live Animal,Vulnerable,22,live individual,4460.43,Sea,Seaport / Container Terminal,National Parks & Wildlife Service,1,Closed - No Arrest,15.87,100.9925,14.0583,108.2772
WLC-0052,28-05-2016,2016,5,Latin America,Ecuador,United Arab Emirates,Indian Star Tortoise,Reptile,Live Animal,Vulnerable,20,live individual,4095.74,Land,Urban Wildlife Market,National Parks & Wildlife Service,1,Convicted,-1.8312,-78.1834,23.4241,53.8478
WLC-0826,03-06-2016,2016,6,Latin America,Mexico,United Kingdom,Seahorse,Marine,Traditional Medicine,Vulnerable,0.5,kg,207.62,Air,Land Border Crossing,Coast Guard Interdiction Unit,4,Convicted,23.6345,-102.5528,55.3781,-3.436
WLC-0146,04-06-2016,2016,6,Asia,Philippines,Vietnam,Radiated Tortoise,Reptile,Live Animal,Critically Endangered,39,live individual,19533.32,Sea,Highway Checkpoint,National Wildlife Crime Unit,0,Released - Insufficient Evidence,12.8797,121.774,14.0583,108.2772
WLC-0588,06-06-2016,2016,6,Africa,Namibia,Japan,Grey Parrot,Bird,Live Animal,Endangered,5,live individual,3323.82,Air,Postal/Courier Facility,Customs & Border Protection,1,Under Investigation,-22.9576,18.4904,36.2048,138.2529
WLC-0502,08-06-2016,2016,6,Asia,Malaysia,United Arab Emirates,African Elephant,Mammal,Ivory,Endangered,5.17,kg,7274.22,Land,Private Residence,National Parks & Wildlife Service,2,Under Investigation,4.2105,101.9758,23.4241,53.8478
WLC-0255,19-06-2016,2016,6,Africa,Cameroon,United States,Saltwater Crocodile,Reptile,Skin/Pelt,Least Concern,18,piece,4827.4,Sea,Land Border Crossing,Port Authority Task Force,1,Under Investigation,7.3697,12.3547,37.0902,-95.7129
WLC-0231,26-06-2016,2016,6,Africa,Tanzania,Vietnam,Tiger,Mammal,Bones,Endangered,3.9,kg,23152.56,Sea,Highway Checkpoint,Port Authority Task Force,0,Prosecuted - Pending Trial,-6.369,34.8888,14.0583,108.2772
WLC-0464,04-07-2016,2016,7,Latin America,Peru,South Korea,Pangolin (African),Mammal,Bushmeat,Endangered,0.76,kg,10.69,Sea,International Airport,Coast Guard Interdiction Unit,0,Prosecuted - Pending Trial,-9.19,-75.0152,35.9078,127.7669
WLC-0486,19-07-2016,2016,7,Africa,Cameroon,Germany,Tiger,Mammal,Bones,Endangered,7.97,kg,50448.08,Air,Highway Checkpoint,Customs & Border Protection,0,Released - Insufficient Evidence,7.3697,12.3547,51.1657,10.4515
WLC-0259,20-07-2016,2016,7,Africa,Zimbabwe,France,Giant Clam,Marine,Shell,Vulnerable,8,piece,521.47,Sea,Private Residence,Coast Guard Interdiction Unit,4,Convicted,-19.0154,29.1549,46.2276,2.2137
